        Frequency / GHz                S2,1/abs,dB
               4.7600002                      -4.6908858
               4.7680001                      -4.7335811
                   4.776                      -4.7767464
               4.7839999                      -4.8203937
               4.7919998                      -4.8645315
               4.8000002                      -4.9091667
               4.8080001                      -4.9543031
                   4.816                      -4.9999458
               4.8239999                      -5.0460929
               4.8319998                      -5.0927433
               4.8400002                      -5.1398911
                   4.848                      -5.1875292
               4.8559999                      -5.2356478
               4.8639998                      -5.2842326
               4.8720002                      -5.3332711
               4.8800001                      -5.3827463
                   4.888                      -5.4326366
               4.8959999                      -5.4829233
               4.9039998                       -5.533585
               4.9120002                      -5.5845981
               4.9200001                      -5.6359378
                   4.928                      -5.6875789
               4.9359999                      -5.7394994
               4.9439998                      -5.7916714
               4.9520001                      -5.8440724
                    4.96                      -5.8966783
               4.9679999                      -5.9494675
               4.9759998                      -6.0024161
               4.9840002                      -6.0555039
               4.9920001                      -6.1087115
                       5                      -6.1620212
               5.0079999                      -6.2154173
               5.0159998                      -6.2688817
               5.0240002                      -6.3224027
               5.0320001                      -6.3759649
                    5.04                      -6.4295573
               5.0479999                      -6.4831671
               5.0560002                       -6.536783
               5.0640001                      -6.5903946
                   5.072                      -6.6439892
               5.0799999                       -6.697553
               5.0879998                      -6.7510738
               5.0960002                      -6.8045359
               5.1040001                      -6.8579227
                   5.112                       -6.911214
               5.1199999                      -6.9643888
               5.1279998                      -7.0174224
               5.1360002                       -7.070287
               5.1440001                      -7.1229525
                   5.152                      -7.1753832
               5.1599998                      -7.2275415
               5.1680002                      -7.2793867
               5.1760001                      -7.3308721
                   5.184                      -7.3819501
               5.1919999                      -7.4325696
               5.1999998                      -7.4826741
               5.2080002                      -7.5322074
               5.2160001                      -7.5811079
                   5.224                      -7.6293152
               5.2319999                      -7.6767644
               5.2399998                      -7.7233913
               5.2480001                      -7.7691301
                   5.256                       -7.813916
               5.2639999                      -7.8576838
               5.2719998                        -7.90037
               5.2800002                       -7.941912
               5.2880001                      -7.9822504
                   5.296                       -8.021328
               5.3039999                      -8.0590874
               5.3119998                      -8.0954797
               5.3200002                      -8.1304561
               5.3280001                      -8.1639724
                   5.336                      -8.1959879
               5.3439999                      -8.2264657
               5.3520002                      -8.2553732
               5.3600001                      -8.2826824
                   5.368                      -8.3083668
               5.3759999                      -8.3324056
               5.3839998                      -8.3547798
               5.3920002                      -8.3754733
               5.4000001                       -8.394474
                   5.408                      -8.4117702
               5.4159999                      -8.4273543
               5.4239998                      -8.4412172
               5.4320002                      -8.4533548
               5.4400001                        -8.46376
                   5.448                       -8.472431
               5.4559999                      -8.4793627
               5.4640002                      -8.4845531
               5.4720001                      -8.4879981
                    5.48                      -8.4896981
               5.4879999                      -8.4896491
               5.4959998                      -8.4878514
               5.5040002                      -8.4843039
               5.5120001                      -8.4790085
                    5.52                      -8.4719676
               5.5279999                      -8.4631837
               5.5359998                      -8.4526625
               5.5440001                      -8.4404136
                   5.552                      -8.4264458
               5.5599999                      -8.4107728
               5.5679998                      -8.3934114
               5.5760002                      -8.3743813
               5.5840001                      -8.3537058
                   5.592                      -8.3314122
               5.5999999                      -8.3075326
               5.6079998                       -8.282101
               5.6160002                      -8.2551554
               5.6240001                      -8.2267402
                   5.632                         -8.1969
               5.6399999                      -8.1656853
               5.6479998                       -8.133147
               5.6560001                      -8.0993407
                   5.664                      -8.0643238
               5.6719999                      -8.0281533
               5.6799998                      -7.9908922
               5.6880002                      -7.9525992
               5.6960001                      -7.9133376
                   5.704                      -7.8731666
               5.7119999                      -7.8321487
               5.7199998                      -7.7903424
               5.7280002                      -7.7478055
               5.7360001                      -7.7045958
                   5.744                      -7.6607656
               5.7519999                       -7.616368
               5.7600002                      -7.5714524
               5.7680001                      -7.5260647
                   5.776                      -7.4802477
               5.7839999                      -7.4340428
               5.7919998                      -7.3874891
               5.8000002                      -7.3406187
               5.8080001                       -7.293465
                   5.816                      -7.2460578
               5.8239999                      -7.1984234
               5.8319998                      -7.1505874
               5.8400002                      -7.1025719
                   5.848                      -7.0543991
               5.8559999                      -7.0060868
               5.8639998                      -6.9576556
               5.8720002                      -6.9091226
               5.8800001                      -6.8605028
                   5.888                      -6.8118154
               5.8959999                      -6.7630748
               5.9039998                      -6.7142982
               5.9120002                      -6.6655009
               5.9200001                      -6.6167015
                   5.928                      -6.5679165
               5.9359999                      -6.5191619
               5.9439998                      -6.4704585
               5.9520001                      -6.4218237
                    5.96                      -6.3732771
               5.9679999                      -6.3248377
               5.9759998                      -6.2765262
               5.9840002                      -6.2283626
               5.9920001                      -6.1803667
                       6                      -6.1325594
               6.0079999                      -6.0849614
               6.0159998                      -6.0375912
               6.0240002                      -5.9904669
               6.0320001                      -5.9436093
