        Frequency / GHz                S2,1 (eps_r=4)/abs,dB
               4.9039998                      -2.2493329
               4.9120002                      -2.2422805
               4.9200001                      -2.2356529
                   4.928                      -2.2294022
               4.9359999                      -2.2234792
               4.9439998                      -2.2178358
               4.9520001                       -2.212425
                    4.96                      -2.2072041
               4.9679999                      -2.2021329
               4.9759998                      -2.1971779
               4.9840002                       -2.192309
               4.9920001                      -2.1875059
                       5                      -2.1827518
               5.0079999                       -2.178038
               5.0159998                      -2.1733621
               5.0240002                      -2.1687278
               5.0320001                      -2.1641463
                    5.04                      -2.1596333
               5.0479999                      -2.1552075
               5.0560002                      -2.1508938
               5.0640001                       -2.146718
                   5.072                      -2.1427077
               5.0799999                       -2.138892
               5.0879998                      -2.1352975
               5.0960002                      -2.1319509
               5.1040001                      -2.1288758
                   5.112                      -2.1260927
               5.1199999                      -2.1236161
               5.1279998                      -2.1214591
               5.1360002                      -2.1196275
               5.1440001                       -2.118122
                   5.152                      -2.1169379
               5.1599998                      -2.1160672
               5.1680002                      -2.1154939
               5.1760001                      -2.1152005
                   5.184                      -2.1151632
               5.1919999                       -2.115356
               5.1999998                      -2.1157521
               5.2080002                        -2.11632
               5.2160001                      -2.1170294
                   5.224                        -2.11785
               5.2319999                      -2.1187537
               5.2399998                       -2.119712
               5.2480001                      -2.1207018
                   5.256                      -2.1217019
               5.2639999                      -2.1226949
               5.2719998                        -2.12367
               5.2800002                      -2.1246171
               5.2880001                      -2.1255365
                   5.296                      -2.1264277
               5.3039999                      -2.1272988
               5.3119998                      -2.1281606
               5.3200002                      -2.1290278
               5.3280001                      -2.1299188
                   5.336                      -2.1308535
               5.3439999                      -2.1318543
               5.3520002                      -2.1329456
               5.3600001                      -2.1341501
                   5.368                      -2.1354933
               5.3759999                      -2.1369937
               5.3839998                      -2.1386738
               5.3920002                      -2.1405486
               5.4000001                      -2.1426341
                   5.408                      -2.1449392
               5.4159999                      -2.1474701
               5.4239998                      -2.1502295
               5.4320002                      -2.1532139
               5.4400001                      -2.1564192
                   5.448                      -2.1598332
               5.4559999                       -2.163445
               5.4640002                      -2.1672353
               5.4720001                      -2.1711872
                    5.48                      -2.1752773
               5.4879999                      -2.1794866
               5.4959998                      -2.1837902
               5.5040002                      -2.1881663
               5.5120001                       -2.192593
                    5.52                      -2.1970506
