        Frequency / GHz                S2,1/abs,dB
               4.9759998                      -3.7033554
               4.9840002                      -3.6668117
               4.9920001                      -3.6316915
                       5                      -3.5979277
               5.0079999                      -3.5654499
               5.0159998                      -3.5341859
               5.0240002                      -3.5040658
               5.0320001                      -3.4750233
                    5.04                      -3.4469882
               5.0479999                      -3.4198966
               5.0560002                      -3.3936845
               5.0640001                      -3.3682945
                   5.072                      -3.3436686
               5.0799999                      -3.3197546
               5.0879998                      -3.2965044
               5.0960002                      -3.2738732
               5.1040001                      -3.2518221
                   5.112                      -3.2303164
               5.1199999                      -3.2093256
               5.1279998                      -3.1888239
               5.1360002                      -3.1687911
               5.1440001                      -3.1492115
                   5.152                      -3.1300715
               5.1599998                      -3.1113632
               5.1680002                      -3.0930822
               5.1760001                      -3.0752266
                   5.184                       -3.057797
               5.1919999                       -3.040798
               5.1999998                      -3.0242324
               5.2080002                      -3.0081068
               5.2160001                      -2.9924285
                   5.224                      -2.9772043
               5.2319999                      -2.9624409
               5.2399998                      -2.9481437
               5.2480001                      -2.9343191
                   5.256                      -2.9209693
               5.2639999                      -2.9080976
               5.2719998                      -2.8957014
               5.2800002                      -2.8837803
               5.2880001                      -2.8723286
                   5.296                      -2.8613407
               5.3039999                      -2.8508052
               5.3119998                      -2.8407126
               5.3200002                      -2.8310467
               5.3280001                      -2.8217924
                   5.336                      -2.8129321
               5.3439999                      -2.8044463
               5.3520002                       -2.796314
               5.3600001                      -2.7885135
                   5.368                      -2.7810214
               5.3759999                      -2.7738155
               5.3839998                      -2.7668732
               5.3920002                      -2.7601705
               5.4000001                      -2.7536874
                   5.408                      -2.7474022
               5.4159999                      -2.7412957
               5.4239998                      -2.7353496
               5.4320002                      -2.7295483
               5.4400001                      -2.7238785
                   5.448                      -2.7183282
               5.4559999                      -2.7128864
               5.4640002                      -2.7075492
               5.4720001                      -2.7023095
                    5.48                      -2.6971663
               5.4879999                       -2.692119
               5.4959998                      -2.6871707
               5.5040002                      -2.6823243
               5.5120001                      -2.6775867
                    5.52                      -2.6729647
               5.5279999                      -2.6684679
               5.5359998                      -2.6641048
               5.5440001                      -2.6598853
                   5.552                      -2.6558214
               5.5599999                      -2.6519225
               5.5679998                       -2.648201
               5.5760002                      -2.6446637
               5.5840001                      -2.6413217
                   5.592                      -2.6381828
               5.5999999                      -2.6352533
               5.6079998                      -2.6325378
               5.6160002                      -2.6300411
               5.6240001                      -2.6277657
                   5.632                      -2.6257097
               5.6399999                       -2.623872
               5.6479998                      -2.6222505
               5.6560001                      -2.6208393
                   5.664                      -2.6196321
               5.6719999                      -2.6186201
               5.6799998                      -2.6177925
               5.6880002                      -2.6171416
               5.6960001                      -2.6166527
                   5.704                      -2.6163152
               5.7119999                      -2.6161149
               5.7199998                      -2.6160394
               5.7280002                      -2.6160756
               5.7360001                      -2.6162105
                   5.744                       -2.616432
               5.7519999                      -2.6167276
               5.7600002                      -2.6170892
               5.7680001                      -2.6175046
                   5.776                      -2.6179679
               5.7839999                      -2.6184712
               5.7919998                      -2.6190104
               5.8000002                      -2.6195811
               5.8080001                       -2.620183
                   5.816                      -2.6208147
               5.8239999                      -2.6214788
               5.8319998                      -2.6221774
               5.8400002                      -2.6229154
                   5.848                      -2.6236992
               5.8559999                      -2.6245348
               5.8639998                      -2.6254303
               5.8720002                      -2.6263947
               5.8800001                      -2.6274372
                   5.888                      -2.6285669
               5.8959999                      -2.6297924
               5.9039998                      -2.6311249
               5.9120002                      -2.6325718
               5.9200001                      -2.6341422
                   5.928                       -2.635843
               5.9359999                      -2.6376819
               5.9439998                      -2.6396639
               5.9520001                      -2.6417932
                    5.96                      -2.6440727
               5.9679999                      -2.6465044
               5.9759998                      -2.6490899
               5.9840002                      -2.6518248
               5.9920001                       -2.654709
                       6                       -2.657739
               6.0079999                      -2.6609087
               6.0159998                      -2.6642114
               6.0240002                      -2.6676407
               6.0320001                      -2.6711888
                    6.04                      -2.6748459
               6.0479999                       -2.678605
               6.0560002                      -2.6824548
               6.0640001                      -2.6863859
                   6.072                      -2.6903901
               6.0799999                      -2.6944583
               6.0879998                      -2.6985816
               6.0960002                      -2.7027524
               6.1040001                       -2.706964
                   6.112                        -2.71121
               6.1199999                      -2.7154867
               6.1279998                      -2.7197888
               6.1360002                      -2.7241164
               6.1440001                      -2.7284672
                   6.152                      -2.7328408
               6.1599998                      -2.7372408
               6.1680002                       -2.741668
               6.1760001                      -2.7461289
                   6.184                      -2.7506262
               6.1919999                      -2.7551672
               6.1999998                      -2.7597597
               6.2080002                        -2.76441
               6.2160001                      -2.7691266
                   6.224                       -2.773918
               6.2319999                      -2.7787917
               6.2399998                       -2.783757
               6.2480001                      -2.7888213
                   6.256                       -2.793993
               6.2639999                      -2.7992789
               6.2719998                      -2.8046846
               6.2800002                      -2.8102171
               6.2880001                      -2.8158793
                   6.296                      -2.8216763
               6.3039999                      -2.8276081
               6.3119998                      -2.8336779
               6.3200002                       -2.839884
               6.3280001                      -2.8462262
                   6.336                      -2.8527002
               6.3439999                      -2.8593052
               6.3520002                      -2.8660343
               6.3600001                      -2.8728831
                   6.368                      -2.8798458
               6.3759999                      -2.8869153
               6.3839998                      -2.8940838
               6.3920002                      -2.9013446
               6.4000001                      -2.9086891
                   6.408                      -2.9161108
               6.4159999                      -2.9236019
               6.4239998                      -2.9311566
               6.4320002                      -2.9387662
               6.4400001                      -2.9464274
                   6.448                      -2.9541341
               6.4559999                      -2.9618826
               6.4640002                      -2.9696698
               6.4720001                      -2.9774951
                    6.48                      -2.9853564
               6.4879999                      -2.9932552
               6.4959998                      -3.0011921
               6.5040002                      -3.0091716
               6.5120001                      -3.0171961
                    6.52                      -3.0252713
               6.5279999                      -3.0334028
               6.5359998                      -3.0415965
               6.5440001                      -3.0498591
                   6.552                      -3.0581991
               6.5599999                      -3.0666251
               6.5679998                      -3.0751424
               6.5760002                       -3.083762
               6.5840001                      -3.0924908
                   6.592                      -3.1013351
               6.5999999                      -3.1103029
               6.6079998                      -3.1194011
               6.6160002                       -3.128634
               6.6240001                      -3.1380074
                   6.632                      -3.1475248
               6.6399999                      -3.1571892
               6.6479998                       -3.167002
               6.6560001                      -3.1769649
                   6.664                      -3.1870761
               6.6719999                      -3.1973347
               6.6799998                      -3.2077388
               6.6880002                      -3.2182841
               6.6960001                      -3.2289681
                   6.704                      -3.2397833
               6.7119999                      -3.2507267
               6.7199998                      -3.2617901
               6.7280002                      -3.2729691
               6.7360001                       -3.284256
                   6.744                      -3.2956456
               6.7519999                      -3.3071307
               6.7600002                      -3.3187047
               6.7680001                      -3.3303627
                   6.776                      -3.3421013
               6.7839999                      -3.3539142
               6.7919998                      -3.3657991
               6.8000002                      -3.3777533
               6.8080001                      -3.3897759
                   6.816                      -3.4018682
               6.8239999                      -3.4140274
               6.8319998                      -3.4262589
               6.8400002                      -3.4385632
                   6.848                      -3.4509461
               6.8559999                      -3.4634116
               6.8639998                      -3.4759666
               6.8720002                       -3.488617
               6.8800001                      -3.5013704
                   6.888                       -3.514235
               6.8959999                      -3.5272178
               6.9039998                      -3.5403288
               6.9120002                      -3.5535752
               6.9200001                      -3.5669663
                   6.928                      -3.5805103
               6.9359999                      -3.5942149
               6.9439998                       -3.608086
               6.9520001                      -3.6221321
                    6.96                      -3.6363586
               6.9679999                      -3.6507695
               6.9759998                      -3.6653696
               6.9840002                      -3.6801616
               6.9920001                      -3.6951468
                       7                      -3.7103265
               7.0079999                      -3.7257008
               7.0159998                      -3.7412692
               7.0240002                       -3.757027
               7.0320001                       -3.772974
                    7.04                       -3.789106
               7.0479999                       -3.805418
               7.0560002                      -3.8219049
               7.0640001                      -3.8385625
                   7.072                      -3.8553845
               7.0799999                      -3.8723671
               7.0879998                      -3.8895033
               7.0960002                      -3.9067889
               7.1040001                      -3.9242189
                   7.112                      -3.9417891
               7.1199999                       -3.959497
               7.1279998                      -3.9773386
               7.1360002                      -3.9953146
               7.1440001                      -4.0134233
                   7.152                       -4.031665
               7.1599998                       -4.050042
               7.1680002                      -4.0685564
               7.1760001                       -4.087213
                   7.184                      -4.1060155
               7.1919999                      -4.1249726
               7.1999998                      -4.1440882
               7.2080002                      -4.1633734
               7.2160001                      -4.1828351
                   7.224                      -4.2024832
               7.2319999                      -4.2223269
               7.2399998                      -4.2423778
               7.2480001                      -4.2626449
                   7.256                      -4.2831396
               7.2639999                      -4.3038714
               7.2719998                      -4.3248516
               7.2800002                       -4.346088
               7.2880001                      -4.3675908
                   7.296                      -4.3893673
               7.3039999                       -4.411425
               7.3119998                       -4.433771
               7.3200002                      -4.4564098
               7.3280001                      -4.4793472
                   7.336                      -4.5025848
               7.3439999                      -4.5261262
               7.3520002                       -4.549972
               7.3600001                      -4.5741221
                   7.368                      -4.5985768
               7.3759999                      -4.6233339
               7.3839998                      -4.6483916
               7.3920002                       -4.673747
               7.4000001                      -4.6993961
                   7.408                      -4.7253369
               7.4159999                       -4.751566
               7.4239998                      -4.7780769
               7.4320002                      -4.8048695
               7.4400001                      -4.8319392
                   7.448                       -4.859286
               7.4559999                      -4.8869054
               7.4640002                      -4.9148001
               7.4720001                      -4.9429678
                    7.48                      -4.9714098
               7.4879999                      -5.0001317
               7.4959998                      -5.0291347
               7.5040002                      -5.0584271
               7.5120001                      -5.0880129
                    7.52                       -5.117901
               7.5279999                      -5.1481014
               7.5359998                      -5.1786256
               7.5440001                      -5.2094831
                   7.552                      -5.2406878
               7.5599999                      -5.2722529
               7.5679998                      -5.3041931
               7.5760002                      -5.3365246
               7.5840001                      -5.3692615
                   7.592                      -5.4024196
               7.5999999                      -5.4360157
               7.6079998                      -5.4700638
               7.6160002                      -5.5045813
               7.6240001                      -5.5395818
                   7.632                      -5.5750808
               7.6399999                       -5.611091
               7.6479998                      -5.6476243
               7.6560001                      -5.6846942
                   7.664                      -5.7223111
               7.6719999                      -5.7604853
               7.6799998                      -5.7992249
               7.6880002                      -5.8385359
               7.6960001                      -5.8784282
                   7.704                      -5.9189051
               7.7119999                      -5.9599698
               7.7199998                       -6.001629
               7.7280002                      -6.0438844
               7.7360001                        -6.08674
                   7.744                      -6.1301965
               7.7519999                      -6.1742572
               7.7600002                      -6.2189253
               7.7680001                      -6.2642017
                   7.776                      -6.3100912
               7.7839999                      -6.3565981
               7.7919998                       -6.403726
               7.8000002                       -6.451483
               7.8080001                      -6.4998744
                   7.816                      -6.5489119
               7.8239999                      -6.5986037
               7.8319998                       -6.648964
               7.8400002                      -6.7000072
                   7.848                      -6.7517507
               7.8559999                      -6.8042097
               7.8639998                      -6.8574081
               7.8720002                      -6.9113668
               7.8800001                      -6.9661101
                   7.888                      -7.0216652
               7.8959999                      -7.0780592
               7.9039998                      -7.1353222
               7.9120002                      -7.1934849
               7.9200001                      -7.2525803
                   7.928                       -7.312642
               7.9359999                      -7.3737037
               7.9439998                      -7.4357994
               7.9520001                      -7.4989672
                    7.96                      -7.5632418
               7.9679999                       -7.628658
               7.9759998                      -7.6952532
               7.9840002                      -7.7630621
               7.9920001                      -7.8321202
                       8                      -7.9024631
               8.0080004                       -7.974124
               8.0159998                      -8.0471369
               8.0240002                      -8.1215353
               8.0319996                      -8.1973522
                    8.04                      -8.2746181
               8.0480003                      -8.3533651
               8.0559998                      -8.4336262
               8.0640001                       -8.515432
               8.0719995                      -8.5988148
               8.0799999                      -8.6838055
